id|QUESTION|CONTEXT|Expected Answer
1|Does SageMaker provide any free ML environments?|SageMaker includes the following machine learning environments: SageMaker Canvas: An auto ML service that gives people with no coding experience the ability to build models and make predictions with them. SageMaker Studio:   An integrated machine learning environment where you can build, train, deploy, and analyze your models all in the same application. SageMaker Studio Lab: A free service that gives customers access to AWS compute resources in an environment based on open-source JupyterLab. RStudio on Amazon SageMaker: An integrated development environment for R, with a console, syntax-highlighting editor that supports direct code execution, and tools for plotting, history, debugging and workspace management.|Yes, SageMaker Studio Lab is a free service that gives customers access to AWS compute resources for machine learning.
2|What are some of the ways to access JumpStart?|SageMaker JumpStart provides pretrained, open-source models for a wide range of problem types to help you get started with machine learning. You can incrementally train and tune these models before deployment. JumpStart also provides solution templates that set up infrastructure for common use cases, and executable example notebooks for machine learning with SageMaker. You can access the pretrained models, solution templates, and examples through the JumpStart landing page in Amazon SageMaker Studio. You can also access JumpStart models using the SageMaker Python SDK.|You can access JumpStart through the JumpStart landing page in Amazon SageMaker Studio. You can also access JumpStart models using the SageMaker Python SDK.
3|Can Ground Truth help me save my labelling costs? If so, how?|To train a machine learning model, you need a large, high-quality, labeled dataset. You can label your data using Amazon SageMaker Ground Truth. Choose from one of the Ground Truth built-in task types or create your own custom labeling workflow. To improve the accuracy of your data labels and reduce the total cost of labeling your data, use Ground Truth enhanced data labeling features like automated data labeling and annotation consolidation. |Yes. Ground Truth can help reduce labeling costs through automated data labeling and annotation consolidation.
4|Which SageMaker feature can help me prepare my datasets for model training?|To analyze data and evaluate machine learning models on Amazon SageMaker, use Amazon SageMaker Processing. With Processing, you can use a simplified, managed experience on SageMaker to run your data processing workloads, such as feature engineering, data validation, model evaluation, and model interpretation. Your input data must be stored in an Amazon S3 bucket. Alternatively, you can use Amazon Athena or Amazon Redshift as input sources.|SageMaker Processing
5|Can SageMaker alert me if a model's accuracy goes down? if so, how?|Amazon SageMaker Model Monitor monitors the quality of Amazon SageMaker machine learning models in production. You can set up continuous monitoring with a real-time endpoint (or a batch transform job that runs regularly), or on-schedule monitoring for asynchronous batch transform jobs. With Model Monitor, you can set alerts that notify you when there are deviations in the model quality. Model Monitor provides the following types of monitoring: Monitor drift in data quality, Monitor drift in model quality metrics, such as accuracy. Monitor bias in your model's predictions, Monitor drift in feature attribution.|Yes. SageMaker Model Monitor can monitor drift in model quality metrics, such as accuracy. You can set alerts that notify you when there are deviations in the model quality.
6|Who is responsible for security of your data on AWS?|Security is a shared responsibility between AWS and you. The shared responsibility model describes this as security of the cloud and security in the cloud: Security of the cloud – AWS is responsible for protecting the infrastructure that runs AWS services in the AWS Cloud. AWS also provides you with services that you can use securely. Security in the cloud – Your responsibility is determined by the AWS service that you use. You are also responsible for other factors including the sensitivity of your data, your company’s requirements, and applicable laws and regulations. |You are responsible for security of your data on AWS.
7|How can I track who made a SageMaker API call?|Monitoring is an important part of maintaining the reliability, availability, and performance of SageMaker and your other AWS solutions. AWS provides the following monitoring tools: Amazon CloudWatch monitors your AWS resources and the applications that you run on AWS in real time. Amazon CloudWatch Logs enables you to monitor, store, and access your log files. AWS CloudTrail captures API calls and related events made by or on behalf of your AWS account. CloudWatch Events delivers a near real-time stream of system events that describe changes in AWS resources. |AWS CloudTrail captures API calls and related events made by or on behalf of your AWS account.
8|What type of model monitoring is available through SageMaker?|Amazon SageMaker Model Monitor monitors the quality of Amazon SageMaker machine learning models in production. You can set up continuous monitoring with a real-time endpoint (or a batch transform job that runs regularly), or on-schedule monitoring for asynchronous batch transform jobs. With Model Monitor, you can set alerts that notify you when there are deviations in the model quality. Early and proactive detection of these deviations enables you to take corrective actions, such as retraining models, auditing upstream systems, or fixing quality issues without having to monitor models manually or build additional tooling. You can use Model Monitor prebuilt monitoring capabilities that do not require coding. You also have the flexibility to monitor models by coding to provide custom analysis.|SageMaker Model Monitor provides continuous monitoring with real-time endpoints or regular batch transform jobs, as well as on-schedule monitoring for asynchronous batch transform jobs.
9|What SageMaker service can be used for feature engineering?|Amazon SageMaker Data Wrangler (Data Wrangler) is a feature of Amazon SageMaker Studio that provides an end-to-end solution to import, prepare, transform, featurize, and analyze data. You can integrate a Data Wrangler data preparation flow into your machine learning (ML) workflows to simplify and streamline data pre-processing and feature engineering using little to no coding. You can also add your own Python scripts and transformations to customize workflows.|Amazon SageMaker Data Wrangler
10|What is the default instance type used by Data Wrangler?|When you create a Data Wrangler flow in Amazon SageMaker Studio, Data Wrangler uses an Amazon EC2 instance to run the analyses and transformations in your flow. By default, Data Wrangler uses the m5.4xlarge instance. m5 instances are general purpose instances that provide a balance between compute and memory. You can use m5 instances for a variety of compute workloads. Data Wrangler also gives you the option of using r5 instances. r5 instances are designed to deliver fast performance that processes large datasets in memory.|The default instance type used by Data Wrangler is m5.4xlarge.
